Timestamp,Ticket,Action,Volume,Price,Realized_PnL,Reason
2026-09-22 05:21:50,2377327020,CLOSE,0.01,4337.89,-2.46,STOP_HIT
2026-09-22 05:22:50,2377331859,OPEN,0.01,4335.94,0.0,Momentum
2026-09-22 05:22:50,2377331864,OPEN,0.01,4335.94,0.0,Momentum
2026-09-22 05:23:04,2377332917,OPEN,0.01,4335.42,0.0,Momentum
2026-09-22 05:23:04,2377332924,OPEN,0.01,4335.12,0.0,Momentum
2026-09-22 05:23:13,2377333361,OPEN,0.01,4334.58,0.0,Momentum
2026-09-22 05:23:25,2377336898,OPEN,0.01,4331.48,0.0,Momentum
2026-09-22 05:23:26,2377337053,OPEN,0.01,4331.7,0.0,Momentum
2026-09-22 05:25:19,2377344986,OPEN,0.01,4331.15,0.0,Momentum
2026-09-22 05:25:20,2377345020,OPEN,0.01,4331.04,0.0,Momentum
2026-09-22 05:26:25,2377354360,OPEN,0.01,4324.51,0.0,Momentum
2026-09-22 05:26:25,2377354364,OPEN,0.01,4324.45,0.0,Momentum
2026-09-22 05:26:32,2377354360,CLOSE,0.01,4326.98,-2.48,STOP_HIT
2026-09-22 05:26:32,2377354364,CLOSE,0.01,4326.98,-2.54,STOP_HIT
2026-09-22 05:27:33,2377358577,OPEN,0.01,4329.82,0.0,Momentum
2026-09-22 05:27:34,2377358602,OPEN,0.01,4330.41,0.0,Momentum
2026-09-22 05:28:44,2377358577,CLOSE,0.01,4332.63,-2.81,STOP_HIT
2026-09-22 05:28:44,2377358602,CLOSE,0.01,4332.69,-2.22,STOP_HIT
2026-09-22 05:29:49,2377365354,OPEN,0.01,4331.53,0.0,Momentum
2026-09-22 05:29:49,2377365359,OPEN,0.01,4331.53,0.0,Momentum
2026-09-22 05:30:02,2377366226,OPEN,0.01,4330.65,0.0,Momentum
2026-09-22 05:30:27,2377367977,OPEN,0.01,4329.08,0.0,Momentum
2026-09-22 05:30:30,2377368414,OPEN,0.01,4328.08,0.0,Momentum
2026-09-22 05:30:41,2377369540,OPEN,0.01,4327.03,0.0,Momentum
2026-09-22 05:30:41,2377369577,OPEN,0.01,4326.98,0.0,Momentum
2026-09-22 05:30:43,2377369847,OPEN,0.01,4325.98,0.0,Momentum
2026-09-22 05:30:44,2377369927,OPEN,0.01,4325.09,0.0,Momentum
2026-09-22 05:31:09,2377372924,OPEN,0.01,4324.7,0.0,Momentum
2026-09-22 05:31:09,2377372982,OPEN,0.01,4324.84,0.0,Momentum
2026-09-22 05:31:20,2377374058,OPEN,0.01,4324.26,0.0,Momentum
2026-09-22 05:32:36,2377374058,CLOSE,0.01,4329.29,-5.03,STOP_HIT
2026-09-22 05:33:48,2377384157,OPEN,0.01,4331.32,0.0,Momentum
2026-09-22 05:33:49,2377384168,OPEN,0.01,4331.32,0.0,Momentum
2026-09-22 05:34:01,2377385456,OPEN,0.01,4331.82,0.0,Momentum
2026-09-22 05:34:01,2377385465,OPEN,0.01,4331.82,0.0,Momentum
2026-09-22 05:34:31,2377385456,CLOSE,0.01,4329.12,-2.7,STOP_HIT
2026-09-22 05:34:31,2377385465,CLOSE,0.01,4329.32,-2.7,STOP_HIT
2026-09-22 05:35:31,2377393067,OPEN,0.01,4322.0,0.0,Momentum
2026-09-22 05:35:31,2377393106,OPEN,0.01,4322.04,0.0,Momentum
2026-09-22 05:35:41,2377397056,OPEN,0.01,4319.5,0.0,Momentum
2026-09-22 05:35:41,2377397198,OPEN,0.01,4319.58,0.0,Momentum
2026-09-22 05:36:32,2377404301,OPEN,0.01,4319.28,0.0,Momentum
2026-09-22 05:38:31,2377412710,OPEN,0.01,4318.19,0.0,Momentum
2026-09-22 05:38:31,2377412725,OPEN,0.01,4318.19,0.0,Momentum
2026-09-22 05:38:40,2377413904,OPEN,0.01,4317.45,0.0,Momentum
